actor_id,film_id,actor_name
1,1,"PENELOPE GUINESS"
1,23,"PENELOPE GUINESS"
1,25,"PENELOPE GUINESS"
1,106,"PENELOPE GUINESS"
1,140,"PENELOPE GUINESS"
1,166,"PENELOPE GUINESS"
1,277,"PENELOPE GUINESS"
1,361,"PENELOPE GUINESS"
1,438,"PENELOPE GUINESS"
1,499,"PENELOPE GUINESS"
1,506,"PENELOPE GUINESS"
1,509,"PENELOPE GUINESS"
1,605,"PENELOPE GUINESS"
1,635,"PENELOPE GUINESS"
1,749,"PENELOPE GUINESS"
1,832,"PENELOPE GUINESS"
1,939,"PENELOPE GUINESS"
1,970,"PENELOPE GUINESS"
1,980,"PENELOPE GUINESS"
2,3,"NICK WAHLBERG"
2,31,"NICK WAHLBERG"
2,47,"NICK WAHLBERG"
2,105,"NICK WAHLBERG"
2,132,"NICK WAHLBERG"
2,145,"NICK WAHLBERG"
2,226,"NICK WAHLBERG"
2,249,"NICK WAHLBERG"
2,314,"NICK WAHLBERG"
2,321,"NICK WAHLBERG"
2,357,"NICK WAHLBERG"
2,369,"NICK WAHLBERG"
2,399,"NICK WAHLBERG"
2,458,"NICK WAHLBERG"
2,481,"NICK WAHLBERG"
2,485,"NICK WAHLBERG"
2,518,"NICK WAHLBERG"
2,540,"NICK WAHLBERG"
2,550,"NICK WAHLBERG"
2,555,"NICK WAHLBERG"
2,561,"NICK WAHLBERG"
2,742,"NICK WAHLBERG"
2,754,"NICK WAHLBERG"
2,811,"NICK WAHLBERG"
2,958,"NICK WAHLBERG"
3,17,"ED CHASE"
3,40,"ED CHASE"
3,42,"ED CHASE"
3,87,"ED CHASE"
3,111,"ED CHASE"
3,185,"ED CHASE"
3,289,"ED CHASE"
3,329,"ED CHASE"
3,336,"ED CHASE"
3,341,"ED CHASE"
3,393,"ED CHASE"
3,441,"ED CHASE"
3,453,"ED CHASE"
3,480,"ED CHASE"
3,539,"ED CHASE"
3,618,"ED CHASE"
3,685,"ED CHASE"
3,827,"ED CHASE"
3,966,"ED CHASE"
3,967,"ED CHASE"
3,971,"ED CHASE"
3,996,"ED CHASE"
4,23,"JENNIFER DAVIS"
4,25,"JENNIFER DAVIS"
4,56,"JENNIFER DAVIS"
4,62,"JENNIFER DAVIS"
4,79,"JENNIFER DAVIS"
4,87,"JENNIFER DAVIS"
